state,category,group,cvap
Alabama,Gender,Male,1775740
Alabama,Gender,Female,1885580
Alabama,Race,White,2123566
Alabama,Race,Hispanic,219679
Alabama,Race,Black,1171622
Alabama,Race,Asian,146452
Alaska,Gender,Male,288617
Alaska,Gender,Female,266415
Alaska,Race,White,360771
Alaska,Race,Hispanic,77704
Alaska,Race,Black,72154
Alaska,Race,Asian,44402
Arizona,Gender,Male,2414753
Arizona,Gender,Female,2564119
Arizona,Race,White,1991549
Arizona,Race,Hispanic,1742605
Arizona,Race,Black,597464
Arizona,Race,Asian,647253
Arkansas,Gender,Male,1087306
Arkansas,Gender,Female,1154562
Arkansas,Race,White,1457214
Arkansas,Race,Hispanic,313861
Arkansas,Race,Black,291442
Arkansas,Race,Asian,179349
California,Gender,Male,14006754
California,Gender,Female,14873152
California,Race,White,11551962
California,Race,Hispanic,10107967
California,Race,Black,3465588
California,Race,Asian,3754387
Colorado,Gender,Male,1912834
Colorado,Gender,Female,2031153
Colorado,Race,White,2563592
Colorado,Race,Hispanic,552158
Colorado,Race,Black,512718
Colorado,Race,Asian,315519
Connecticut,Gender,Male,1323924
Connecticut,Gender,Female,1405816
Connecticut,Race,White,1774331
Connecticut,Race,Hispanic,382163
Connecticut,Race,Black,354866
Connecticut,Race,Asian,218379
Delaware,Gender,Male,338025
Delaware,Gender,Female,358934
Delaware,Race,White,453024
Delaware,Race,Hispanic,97574
Delaware,Race,Black,90604
Delaware,Race,Asian,55756
District of Columbia,Gender,Male,233480
District of Columbia,Gender,Female,247923
District of Columbia,Race,White,312912
District of Columbia,Race,Hispanic,67396
District of Columbia,Race,Black,62582
District of Columbia,Race,Asian,38512
Florida,Gender,Male,7121627
Florida,Gender,Female,7562141
Florida,Race,White,5873507
Florida,Race,Hispanic,5139319
Florida,Race,Black,1762052
Florida,Race,Asian,1908889
Georgia,Gender,Male,3654906
Georgia,Gender,Female,3880983
Georgia,Race,White,4370816
Georgia,Race,Hispanic,452153
Georgia,Race,Black,2411484
Georgia,Race,Asian,301435
Hawaii,Gender,Male,512386
Hawaii,Gender,Female,544081
Hawaii,Race,White,686704
Hawaii,Race,Hispanic,147905
Hawaii,Race,Black,137340
Hawaii,Race,Asian,84517
Idaho,Gender,Male,588134
Idaho,Gender,Female,624513
Idaho,Race,White,788221
Idaho,Race,Hispanic,169770
Idaho,Race,Black,157644
Idaho,Race,Asian,97011
Illinois,Gender,Male,4743215
Illinois,Gender,Female,5036609
Illinois,Race,White,5085509
Illinois,Race,Hispanic,1760368
Illinois,Race,Black,1760368
Illinois,Race,Asian,1173579
Indiana,Gender,Male,2409826
Indiana,Gender,Female,2558887
Indiana,Race,White,3229664
Indiana,Race,Hispanic,695619
Indiana,Race,Black,645932
Indiana,Race,Asian,397497
Iowa,Gender,Male,1133459
Iowa,Gender,Female,1203569
Iowa,Race,White,2079955
Iowa,Race,Hispanic,93481
Iowa,Race,Black,70110
Iowa,Race,Asian,93481
Kansas,Gender,Male,1063557
Kansas,Gender,Female,1129344
Kansas,Race,White,1425386
Kansas,Race,Hispanic,307006
Kansas,Race,Black,285077
Kansas,Race,Asian,175432
Kentucky,Gender,Male,1614368
Kentucky,Gender,Female,1714225
Kentucky,Race,White,2163586
Kentucky,Race,Hispanic,466003
Kentucky,Race,Black,432717
Kentucky,Race,Asian,266287
Louisiana,Gender,Male,1696346
Louisiana,Gender,Female,1801274
Louisiana,Race,White,2028620
Louisiana,Race,Hispanic,209857
Louisiana,Race,Black,1119238
Louisiana,Race,Asian,139904
Maine,Gender,Male,489685
Maine,Gender,Female,519974
Maine,Race,White,898597
Maine,Race,Hispanic,40386
Maine,Race,Black,30289
Maine,Race,Asian,40386
Maryland,Gender,Male,2169162
Maryland,Gender,Female,2303336
Maryland,Race,White,2325699
Maryland,Race,Hispanic,805049
Maryland,Race,Black,805049
Maryland,Race,Asian,536699
Massachusetts,Gender,Male,2449458
Massachusetts,Gender,Female,2600971
Massachusetts,Race,White,3282779
Massachusetts,Race,Hispanic,707060
Massachusetts,Race,Black,656555
Massachusetts,Race,Asian,404034
Michigan,Gender,Male,3642696
Michigan,Gender,Female,3868017
Michigan,Race,White,4881964
Michigan,Race,Hispanic,1051499
Michigan,Race,Black,976392
Michigan,Race,Asian,600857
Minnesota,Gender,Male,1982937
Minnesota,Gender,Female,2105592
Minnesota,Race,White,2657544
Minnesota,Race,Hispanic,572394
Minnesota,Race,Black,531508
Minnesota,Race,Asian,327082
Mississippi,Gender,Male,1100805
Mississippi,Gender,Female,1168896
Mississippi,Race,White,1316427
Mississippi,Race,Hispanic,136182
Mississippi,Race,Black,726304
Mississippi,Race,Asian,90788
Missouri,Gender,Male,2220638
Missouri,Gender,Female,2357997
Missouri,Race,White,2976113
Missouri,Race,Hispanic,641009
Missouri,Race,Black,595222
Missouri,Race,Asian,366290
Montana,Gender,Male,397371
Montana,Gender,Female,366804
Montana,Race,White,680115
Montana,Race,Hispanic,30567
Montana,Race,Black,22925
Montana,Race,Asian,30567
Nebraska,Gender,Male,683882
Nebraska,Gender,Female,726183
Nebraska,Race,White,916542
Nebraska,Race,Hispanic,197409
Nebraska,Race,Black,183308
Nebraska,Race,Asian,112805
Nevada,Gender,Male,1015254
Nevada,Gender,Female,1078054
Nevada,Race,White,837323
Nevada,Race,Hispanic,732658
Nevada,Race,Black,251197
Nevada,Race,Asian,272130
New Hampshire,Gender,Male,487147
New Hampshire,Gender,Female,517280
New Hampshire,Race,White,652878
New Hampshire,Race,Hispanic,140619
New Hampshire,Race,Black,130575
New Hampshire,Race,Asian,80354
New Jersey,Gender,Male,3268652
New Jersey,Gender,Female,3470836
New Jersey,Race,White,3504534
New Jersey,Race,Hispanic,1213108
New Jersey,Race,Black,1213108
New Jersey,Race,Asian,808738
New Mexico,Gender,Male,767992
New Mexico,Gender,Female,815497
New Mexico,Race,White,633396
New Mexico,Race,Hispanic,554221
New Mexico,Race,Black,190018
New Mexico,Race,Asian,205853
New York,Gender,Male,7215759
New York,Gender,Female,7662095
New York,Race,White,7736484
New York,Race,Hispanic,2678013
New York,Race,Black,2678013
New York,Race,Asian,1785342
North Carolina,Gender,Male,3593246
North Carolina,Gender,Female,3815509
North Carolina,Race,White,4297078
North Carolina,Race,Hispanic,444525
North Carolina,Race,Black,2370801
North Carolina,Race,Asian,296350
North Dakota,Gender,Male,277171
North Dakota,Gender,Female,255850
North Dakota,Race,White,474389
North Dakota,Race,Hispanic,21320
North Dakota,Race,Black,15990
North Dakota,Race,Asian,21320
Ohio,Gender,Male,4258446
Ohio,Gender,Female,4521856
Ohio,Race,White,5707196
Ohio,Race,Hispanic,1229242
Ohio,Race,Black,1141439
Ohio,Race,Asian,702424
Oklahoma,Gender,Male,1406496
Oklahoma,Gender,Female,1493495
Oklahoma,Race,White,1884994
Oklahoma,Race,Hispanic,405998
Oklahoma,Race,Black,376998
Oklahoma,Race,Asian,231999
Oregon,Gender,Male,1437466
Oregon,Gender,Female,1526381
Oregon,Race,White,1926501
Oregon,Race,Hispanic,414938
Oregon,Race,Black,385300
Oregon,Race,Asian,237107
Pennsylvania,Gender,Male,4704985
Pennsylvania,Gender,Female,4996015
Pennsylvania,Race,White,6305650
Pennsylvania,Race,Hispanic,1358140
Pennsylvania,Race,Black,1261130
Pennsylvania,Race,Asian,776080
Rhode Island,Gender,Male,387142
Rhode Island,Gender,Female,411088
Rhode Island,Race,White,518850
Rhode Island,Race,Hispanic,111752
Rhode Island,Race,Black,103770
Rhode Island,Race,Asian,63858
South Carolina,Gender,Male,1741051
South Carolina,Gender,Female,1848744
South Carolina,Race,White,2082081
South Carolina,Race,Hispanic,215387
South Carolina,Race,Black,1148734
South Carolina,Race,Asian,143591
South Dakota,Gender,Male,307429
South Dakota,Gender,Female,326445
South Dakota,Race,White,564148
South Dakota,Race,Hispanic,25355
South Dakota,Race,Black,19016
South Dakota,Race,Asian,25355
Tennessee,Gender,Male,2379280
Tennessee,Gender,Female,2526453
Tennessee,Race,White,3188727
Tennessee,Race,Hispanic,686802
Tennessee,Race,Black,637745
Tennessee,Race,Asian,392458
Texas,Gender,Male,9606008
Texas,Gender,Female,10200195
Texas,Race,White,7922481
Texas,Race,Hispanic,6932171
Texas,Race,Black,2376744
Texas,Race,Asian,2574806
Utah,Gender,Male,1052304
Utah,Gender,Female,1117396
Utah,Race,White,1410305
Utah,Race,Hispanic,303758
Utah,Race,Black,282061
Utah,Race,Asian,173576
Vermont,Gender,Male,230726
Vermont,Gender,Female,244997
Vermont,Race,White,423394
Vermont,Race,Hispanic,19028
Vermont,Race,Black,14271
Vermont,Race,Asian,19028
Virginia,Gender,Male,3017590
Virginia,Gender,Female,3204246
Virginia,Race,White,4044194
Virginia,Race,Hispanic,871057
Virginia,Race,Black,808838
Virginia,Race,Asian,497746
Washington,Gender,Male,2541613
Washington,Gender,Female,2698827
Washington,Race,White,3406286
Washington,Race,Hispanic,733661
Washington,Race,Black,681257
Washington,Race,Asian,419235
West Virginia,Gender,Male,684371
West Virginia,Gender,Female,726704
West Virginia,Race,White,1255857
West Virginia,Race,Hispanic,56443
West Virginia,Race,Black,42332
West Virginia,Race,Asian,56443
Wisconsin,Gender,Male,2110070
Wisconsin,Gender,Female,2240590
Wisconsin,Race,White,2827929
Wisconsin,Race,Hispanic,609092
Wisconsin,Race,Black,565585
Wisconsin,Race,Asian,348052
Wyoming,Gender,Male,227882
Wyoming,Gender,Female,210352
Wyoming,Race,White,390029
Wyoming,Race,Hispanic,17529
Wyoming,Race,Black,13147
Wyoming,Race,Asian,17529
Alabama,Income,"Less than $10,000",131977
Alabama,Income,"$10,000 to $14,999",96912
Alabama,Income,"$15,000 to $19,999",73431
Alabama,Income,"$20,000 to $24,999",87301
Alabama,Income,"$25,000 to $29,999",82023
Alabama,Income,"$30,000 to $34,999",80864
Alabama,Income,"$35,000 to $39,999",73188
Alabama,Income,"$40,000 to $44,999",82889
Alabama,Income,"$45,000 to $49,999",75180
Alabama,Income,"$50,000 to $59,999",147044
Alabama,Income,"$60,000 to $74,999",199321
Alabama,Income,"$75,000 to $99,999",274048
Alabama,Income,"$100,000 to $124,999",195925
Alabama,Income,"$125,000 to $149,999",133757
Alabama,Income,"$150,000 to $199,999",154519
Alabama,Income,"$200,000 or more",171149
Alaska,Income,"Less than $10,000",10025
Alaska,Income,"$10,000 to $14,999",5379
Alaska,Income,"$15,000 to $19,999",6297
Alaska,Income,"$20,000 to $24,999",7995
Alaska,Income,"$25,000 to $29,999",6198
Alaska,Income,"$30,000 to $34,999",7293
Alaska,Income,"$35,000 to $39,999",7611
Alaska,Income,"$40,000 to $44,999",7762
Alaska,Income,"$45,000 to $49,999",8869
Alaska,Income,"$50,000 to $59,999",16678
Alaska,Income,"$60,000 to $74,999",23442
Alaska,Income,"$75,000 to $99,999",35124
Alaska,Income,"$100,000 to $124,999",34595
Alaska,Income,"$125,000 to $149,999",21965
Alaska,Income,"$150,000 to $199,999",34918
Alaska,Income,"$200,000 or more",39894
Arizona,Income,"Less than $10,000",146463
Arizona,Income,"$10,000 to $14,999",74544
Arizona,Income,"$15,000 to $19,999",70458
Arizona,Income,"$20,000 to $24,999",95820
Arizona,Income,"$25,000 to $29,999",85596
Arizona,Income,"$30,000 to $34,999",96185
Arizona,Income,"$35,000 to $39,999",99837
Arizona,Income,"$40,000 to $44,999",108405
Arizona,Income,"$45,000 to $49,999",100676
Arizona,Income,"$50,000 to $59,999",200304
Arizona,Income,"$60,000 to $74,999",287830
Arizona,Income,"$75,000 to $99,999",415849
Arizona,Income,"$100,000 to $124,999",326132
Arizona,Income,"$125,000 to $149,999",219296
Arizona,Income,"$150,000 to $199,999",291012
Arizona,Income,"$200,000 or more",364068
Arkansas,Income,"Less than $10,000",75258
Arkansas,Income,"$10,000 to $14,999",57892
Arkansas,Income,"$15,000 to $19,999",51616
Arkansas,Income,"$20,000 to $24,999",50924
Arkansas,Income,"$25,000 to $29,999",51537
Arkansas,Income,"$30,000 to $34,999",60081
Arkansas,Income,"$35,000 to $39,999",53636
Arkansas,Income,"$40,000 to $44,999",54870
Arkansas,Income,"$45,000 to $49,999",50639
Arkansas,Income,"$50,000 to $59,999",93611
Arkansas,Income,"$60,000 to $74,999",125739
Arkansas,Income,"$75,000 to $99,999",159514
Arkansas,Income,"$100,000 to $124,999",119149
Arkansas,Income,"$125,000 to $149,999",77984
Arkansas,Income,"$150,000 to $199,999",82479
Arkansas,Income,"$200,000 or more",81825
California,Income,"Less than $10,000",629604
California,Income,"$10,000 to $14,999",407084
California,Income,"$15,000 to $19,999",311137
California,Income,"$20,000 to $24,999",373656
California,Income,"$25,000 to $29,999",325675
California,Income,"$30,000 to $34,999",357076
California,Income,"$35,000 to $39,999",360967
California,Income,"$40,000 to $44,999",386191
California,Income,"$45,000 to $49,999",348269
California,Income,"$50,000 to $59,999",713312
California,Income,"$60,000 to $74,999",1099808
California,Income,"$75,000 to $99,999",1572708
California,Income,"$100,000 to $124,999",1407407
California,Income,"$125,000 to $149,999",1063969
California,Income,"$150,000 to $199,999",1546127
California,Income,"$200,000 or more",2894648
Colorado,Income,"Less than $10,000",105718
Colorado,Income,"$10,000 to $14,999",57934
Colorado,Income,"$15,000 to $19,999",54084
Colorado,Income,"$20,000 to $24,999",60340
Colorado,Income,"$25,000 to $29,999",58435
Colorado,Income,"$30,000 to $34,999",62294
Colorado,Income,"$35,000 to $39,999",55726
Colorado,Income,"$40,000 to $44,999",69780
Colorado,Income,"$45,000 to $49,999",67044
Colorado,Income,"$50,000 to $59,999",137949
Colorado,Income,"$60,000 to $74,999",225560
Colorado,Income,"$75,000 to $99,999",318141
Colorado,Income,"$100,000 to $124,999",264100
Colorado,Income,"$125,000 to $149,999",207806
Colorado,Income,"$150,000 to $199,999",292303
Colorado,Income,"$200,000 or more",442678
Connecticut,Income,"Less than $10,000",69143
Connecticut,Income,"$10,000 to $14,999",43663
Connecticut,Income,"$15,000 to $19,999",34436
Connecticut,Income,"$20,000 to $24,999",37982
Connecticut,Income,"$25,000 to $29,999",35155
Connecticut,Income,"$30,000 to $34,999",37516
Connecticut,Income,"$35,000 to $39,999",41414
Connecticut,Income,"$40,000 to $44,999",42950
Connecticut,Income,"$45,000 to $49,999",38626
Connecticut,Income,"$50,000 to $59,999",80609
Connecticut,Income,"$60,000 to $74,999",119721
Connecticut,Income,"$75,000 to $99,999",170000
Connecticut,Income,"$100,000 to $124,999",144586
Connecticut,Income,"$125,000 to $149,999",107870
Connecticut,Income,"$150,000 to $199,999",168949
Connecticut,Income,"$200,000 or more",282615
Delaware,Income,"Less than $10,000",20348
