"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","2,059,528","274,045","2,982,475","1,246,754","13,797,638","2,479,892","1,455,235","412,304","329,687","9,141,675","4,220,732","493,151","751,181","5,105,448","2,775,637","1,343,422","1,204,374","1,865,456","1,848,965","615,235","2,401,394","2,829,804","4,131,281","2,363,442","1,176,690","2,563,244","468,981","824,012","1,238,925","570,689","3,543,944","856,970","7,828,074","4,496,359","349,705","4,929,322","1,603,748","1,744,270","5,361,724","448,318","2,222,890","382,302","2,928,765","11,449,769","1,184,428","285,548","3,449,307","3,168,080","740,840","2,535,198","256,289","1,242,609"
"    Less than $10,000","131,977","10,025","146,463","75,258","629,604","105,718","69,143","20,348","25,619","473,368","231,546","22,135","27,976","281,653","134,481","54,185","52,214","117,510","138,049","24,519","113,527","135,118","233,459","104,208","83,472","133,085","17,748","35,439","65,456","23,195","153,771","57,182","482,084","233,418","17,568","266,085","98,805","85,179","270,326","23,352","130,320","17,935","148,247","605,149","37,870","10,662","149,488","137,847","47,999","110,181","13,192","227,904"
"    $10,000 to $14,999","96,912","5,379","74,544","57,892","407,084","57,934","43,663","9,336","11,427","283,018","135,680","13,560","19,569","162,907","90,846","42,024","37,742","92,549","99,941","23,374","56,284","85,289","143,363","62,205","63,681","89,951","17,299","24,943","29,451","11,251","84,332","38,078","298,631","159,116","10,120","181,310","64,147","53,752","184,982","17,572","80,440","10,475","110,332","361,201","22,774","7,753","92,236","75,247","37,231","76,001","5,640","136,367"
"    $15,000 to $19,999","73,431","6,297","70,458","51,616","311,137","54,084","34,436","9,130","7,443","255,635","118,455","8,741","20,956","133,385","90,613","39,538","33,177","73,152","79,334","20,342","46,019","69,741","127,734","55,200","50,159","80,069","12,594","24,314","32,743","11,699","68,864","32,155","230,919","137,175","9,481","147,004","55,812","47,513","152,311","14,552","65,183","10,578","94,811","310,500","20,004","8,710","81,834","65,024","33,847","68,409","8,200","115,707"
"    $20,000 to $24,999","87,301","7,995","95,820","50,924","373,656","60,340","37,982","10,009","11,494","302,056","135,037","11,566","23,170","152,324","91,479","46,330","40,013","82,017","92,960","21,256","56,619","68,959","146,620","63,444","57,424","95,599","18,174","27,843","35,201","16,247","86,074","35,836","256,217","159,863","9,784","180,506","64,483","55,462","191,670","13,900","82,486","11,424","114,931","370,682","24,283","8,662","93,995","74,379","36,019","83,176","8,399","106,423"
"    $25,000 to $29,999","82,023","6,198","85,596","51,537","325,675","58,435","35,155","9,320","6,833","278,391","121,706","9,840","22,858","151,378","95,173","50,173","38,545","67,991","73,687","20,758","56,228","63,713","141,089","62,210","56,151","94,455","15,173","27,955","35,514","12,912","79,561","29,901","215,831","156,162","12,004","173,617","60,039","49,916","174,105","13,075","75,607","11,212","89,735","352,996","23,495","10,008","87,465","73,109","34,810","73,502","11,830","75,699"
"    $30,000 to $34,999","80,864","7,293","96,185","60,081","357,076","62,294","37,516","11,296","6,010","334,017","145,391","10,960","24,652","164,567","114,910","47,626","45,554","81,039","75,310","20,478","56,466","71,751","161,806","67,371","53,805","98,582","16,400","27,427","46,505","17,144","89,036","38,526","240,991","160,685","11,841","188,459","66,097","58,872","188,278","13,346","83,009","12,601","107,205","402,456","30,819","9,357","97,506","75,428","33,783","92,193","8,700","74,766"
"    $35,000 to $39,999","73,188","7,611","99,837","53,636","360,967","55,726","41,414","11,551","5,054","326,660","144,986","10,740","22,993","169,229","106,170","52,410","45,131","70,674","76,556","22,005","57,041","71,118","153,404","66,973","48,010","95,959","19,832","30,668","40,687","15,928","83,064","29,054","217,616","158,087","11,309","178,238","63,314","53,903","187,300","10,253","81,567","11,422","112,633","368,091","32,076","9,901","88,908","78,454","30,541","84,605","9,330","63,469"
"    $40,000 to $44,999","82,889","7,762","108,405","54,870","386,191","69,780","42,950","14,460","6,567","332,702","151,439","14,061","27,562","176,815","115,949","51,917","45,748","72,173","72,099","22,305","64,291","74,282","153,365","78,695","50,009","108,959","17,808","33,217","45,801","15,207","92,432","29,906","247,077","178,246","13,699","208,172","69,142","56,303","199,717","15,540","85,342","17,296","123,940","423,896","35,752","8,581","112,389","88,347","29,626","101,039","9,201","57,631"
"    $45,000 to $49,999","75,180","8,869","100,676","50,639","348,269","67,044","38,626","15,535","5,771","308,054","136,991","11,476","27,571","159,892","103,771","49,156","43,972","70,949","65,219","21,559","63,781","65,652","149,116","70,462","49,260","86,751","14,862","29,326","40,983","12,901","90,920","30,330","222,061","161,118","14,448","166,780","60,682","56,302","183,220","11,665","80,750","13,718","105,132","357,792","35,237","9,226","106,655","89,676","26,668","98,703","8,125","45,244"
